"day","new_accounts","anonymous_posts_percent","total_posts","topics_growth_percent"
"2025-03-22","4","60.0","5","NULL"
"2025-03-22","4","60.0","5","-100.0"
"2025-03-23","13","57.1","7","NULL"
"2025-03-23","13","57.1","7","-100.0"
"2025-03-24","4","80.0","5","NULL"
"2025-03-24","4","80.0","5","-100.0"
"2025-03-25","6","12.5","8","NULL"
"2025-03-25","6","12.5","8","-100.0"
"2025-03-26","3","50.0","10","NULL"
"2025-03-26","3","50.0","10","-100.0"
"2025-03-27","8","25.0","12","NULL"
"2025-03-27","8","25.0","12","-100.0"
"2025-03-28","6","40.0","5","NULL"
"2025-03-28","6","40.0","5","-100.0"
"2025-03-29","6","37.5","8","NULL"
"2025-03-29","6","37.5","8","-100.0"
"2025-03-30","12","57.1","7","NULL"
"2025-03-30","12","57.1","7","-100.0"
"2025-03-31","6","63.6","11","NULL"
"2025-03-31","6","63.6","11","-100.0"
"2025-04-01","5","50.0","8","NULL"
"2025-04-01","5","50.0","8","-100.0"
"2025-04-02","7","50.0","8","NULL"
"2025-04-02","7","50.0","8","-100.0"
"2025-04-03","10","60.0","5","NULL"
"2025-04-03","10","60.0","5","-100.0"
"2025-04-04","7","44.4","9","NULL"
"2025-04-04","7","44.4","9","-100.0"
"2025-04-05","7","20.0","5","NULL"
"2025-04-05","7","20.0","5","-100.0"
"2025-04-06","6","33.3","9","NULL"
"2025-04-06","6","33.3","9","-100.0"
"2025-04-07","4","100.0","5","NULL"
"2025-04-07","4","100.0","5","-100.0"
"2025-04-08","8","57.1","7","NULL"
"2025-04-08","8","57.1","7","-100.0"
"2025-04-09","4","50.0","8","NULL"
"2025-04-09","4","50.0","8","-100.0"
"2025-04-10","6","57.1","7","NULL"
"2025-04-10","6","57.1","7","-100.0"
"2025-04-11","7","57.1","7","NULL"
"2025-04-11","7","57.1","7","-100.0"
"2025-04-12","9","50.0","6","NULL"
"2025-04-12","9","50.0","6","-100.0"
"2025-04-13","10","60.0","10","NULL"
"2025-04-13","10","60.0","10","-100.0"
"2025-04-14","3","40.0","5","NULL"
"2025-04-14","3","40.0","5","-100.0"
"2025-04-15","12","70.0","10","NULL"
"2025-04-15","12","70.0","10","-100.0"
"2025-04-16","9","60.0","5","NULL"
"2025-04-16","9","60.0","5","-100.0"
"2025-04-17","9","42.9","7","NULL"
"2025-04-17","9","42.9","7","-100.0"
"2025-04-18","7","28.6","7","NULL"
"2025-04-18","7","28.6","7","-100.0"
"2025-04-19","2","50.0","4","NULL"
"2025-04-19","2","50.0","4","-100.0"
"2025-04-20","11","28.6","7","NULL"
"2025-04-20","11","28.6","7","-100.0"
"2025-04-21","0","100.0","2","NULL"
