day,new_accounts,anonymous_messages_percent,total_messages,topics_growth_percent
2025-03-10,4,71.43,7,100
2025-03-11,5,20.0,5,200.0
2025-03-12,7,40.0,5,83.33
2025-03-13,4,37.5,8,45.45
2025-03-14,5,22.22,9,37.5
2025-03-15,6,28.57,7,13.64
2025-03-16,9,77.78,9,20.0
2025-03-17,5,66.67,3,10.0
2025-03-18,8,36.36,11,6.06
2025-03-19,4,60.0,5,11.43
2025-03-20,3,50.0,6,15.38
2025-03-21,6,58.33,12,4.44
2025-03-22,8,22.22,9,4.26
2025-03-23,5,66.67,9,4.08
2025-03-24,6,20.0,5,7.84
2025-03-25,6,80.0,5,14.55
2025-03-26,6,44.44,9,4.76
2025-03-27,4,42.86,7,9.09
2025-03-28,7,55.56,9,8.33
2025-03-29,10,33.33,3,3.85
2025-03-30,5,16.67,6,9.88
2025-03-31,6,71.43,7,2.25
2025-04-01,7,40.0,5,4.4
2025-04-02,6,42.86,7,2.11
2025-04-03,9,55.56,9,3.09
2025-04-04,3,83.33,6,3.0
2025-04-05,9,14.29,7,4.85
2025-04-06,6,80.0,10,2.78
2025-04-07,5,62.5,8,6.31
2025-04-08,7,14.29,7,1.69
2025-04-09,3,0.0,3,1.67
