"log_id","user_id","action_id","server_response","action_time"
"1","1","2","success","2025-04-20 21:24:00"
"2","1","2","success","2025-04-20 11:24:00"
"3","6","2","success","2025-04-20 15:24:00"
"4","3","2","success","2025-04-20 17:24:00"
"5","1","2","success","2025-04-20 13:24:00"
"6","6","2","success","2025-04-20 14:24:00"
"7","5","3","success","2025-04-21 03:24:00"
"8","2","3","success","2025-04-21 08:24:00"
"9","1","3","success","2025-04-20 23:24:00"
"10","3","3","success","2025-04-20 22:24:00"
"11","2","3","success","2025-04-21 04:24:00"
"12","3","4","success","2025-04-21 02:24:00"
"13","6","4","success","2025-04-20 17:24:00"
"14","5","4","success","2025-04-20 12:24:00"
"15","6","4","success","2025-04-20 20:24:00"
"16","3","4","success","2025-04-20 21:24:00"
"17","2","4","success","2025-04-21 00:24:00"
"18","3","4","success","2025-04-21 09:24:00"
"19","5","4","success","2025-04-20 13:24:00"
"20","1","4","success","2025-04-21 09:24:00"
"21","NULL","5","error","2025-04-20 23:24:00"
"22","NULL","5","error","2025-04-21 01:24:00"
"23","2","5","success","2025-04-21 04:24:00"
"24","5","5","success","2025-04-20 22:24:00"
"25","3","5","success","2025-04-20 19:24:00"
"26","5","5","success","2025-04-20 12:24:00"
"27","1","5","success","2025-04-20 19:24:00"
"28","4","5","success","2025-04-21 01:24:00"
"29","4","6","success","2025-04-20 23:24:00"
"30","6","6","success","2025-04-20 17:24:00"
"31","3","6","success","2025-04-20 17:24:00"
"32","6","6","success","2025-04-20 17:24:00"
"33","3","6","success","2025-04-21 08:24:00"
"34","2","7","success","2025-04-21 01:24:00"
"35","2","7","success","2025-04-20 11:24:00"
"36","4","7","success","2025-04-21 03:24:00"
"37","5","7","success","2025-04-21 08:24:00"
"38","2","7","success","2025-04-20 18:24:00"
"39","6","7","success","2025-04-21 08:24:00"
"40","4","7","success","2025-04-20 14:24:00"
"41","1","7","success","2025-04-21 02:24:00"
"42","6","8","success","2025-04-20 12:24:00"
"43","NULL","8","success","2025-04-21 00:24:00"
"44","3","8","success","2025-04-20 22:24:00"
"45","NULL","8","success","2025-04-20 23:24:00"
